PK,DID,DOMAIN,CID,CFR-2007-TITLE45-VOL1-PART164,TYPE_CFR-2007-TITLE45-VOL1-PART164,NIST_HIPAA_SECURITY_RULE_TOOLKIT_W_LINEBREAKS,HHS-ONC_SRATK_ID,HHS-ONC_SRATK,HHS-ONC_SRATK_W_LINEBREAKS,HHS-ONC_SRATK_NIST_MAP,TYPE_HHS-ONC_SRATK
25,164.308,164.308 Administrative Safeguards,164.308(a)(7)(i),"(7)(i) Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Standard,"Q: Has your organization defined your overall contingency objectives? Does it include a listing of all areas that use ePHI?
Q: Has your organization established your organization's contingency plan framework, roles and responsibilities?
Q: Does your organization's contingency policy and plan address scope, resource requirements, training, testing, plan maintenance and backup requirements?
Q: Does your organization's policy and plan outline what critical services must be provided within specific timeframes?
Q: Does your organization's policy and plan identify and outline cross-functional dependencies to determine how failure in one systems impacts other system(s)?
Q: Has your organization outlined scenarios and identified preventive measures, measures you can do now, for each scenario that could result in the loss of a critical service involving the use of ePHI?
Q: Has your organization brain stormed and outlined alternatives for continuing operations for your organization if you lose a critical function or a critical resource? Remember there are physical resources like offices and desks and copiers and paper, electronic recourses,
Q: Has you organization researched the cost of preventive measures being considered? 
Q: Are the preventable measures you are considering affordable and practical for the environment?
Q: Does your organization have an emergency coordinator who manages, maintains and updates the contingency plan? Does your organization's staff, employees, and workforce members know who this individual is and how to contact your coordinator?
Q: Does your organization have an emergency call list? Has it been distributed to all staff, employees, and workforce members?
Q: Does your organization have a determination of when your contingency plan needs to be activated? Is it triggered by anticipated duration of outage, loss of capability, or impact on service delivery? Other?
Q: Does your organization have plans, procedures, and agreements initiated or in place if the preventive measures need to be implemented?
Q: Has your organization finalized a set of contingency procedures that can be invoked for all identical impacts, including emergency mode of operation?
Q: Does your organization have documented procedures related to recovery from emergency or disastrous events?","A49,A50,A51","(A49): Does your practice know what critical services and ePHI it must have available to support decision making about a patient’s treatment during an emergency?, (A50): Does your practice consider how natural or man-made disasters could damage its information systems or prevent access to ePHI and develop policies and procedures for responding to such a situation?, (A51): Does your practice regularly review/update its contingency plan as appropriate?","(A49): Does your practice know what critical services and ePHI it must have available to support decision making about a patient’s treatment during an emergency?
(A50): Does your practice consider how natural or man-made disasters could damage its information systems or prevent access to ePHI and develop policies and procedures for responding to such a situation?
(A51): Does your practice regularly review/update its contingency plan as appropriate?",Standard,"CP-1,CP-2"
26,164.308,164.308 Administrative Safeguards,164.308(a)(7)(ii),(ii) Implementation specifications:,,Q: Has your organization reviewed the data backup plan and disaster recovery plan implementation specifications?,XXXXX,XXXXX,XXXXX,XXXXX,
27,164.308,164.308 Administrative Safeguards,164.308(a)(7)(ii)(A),(A) Data backup plan (Required). Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.,Required,"Q: Does your organization's contingency plan address disaster recovery and back up? 
Q: Has your organization established and implemented procedures to create and maintain retrievable exact copies of ePHI?
Q: Has your organization established and implemented procedures to restore any loss of ePHI? 
Q: Has your organization documented all your data backup procedures and made them available to all your staff, employees, and workforce members?
Q: Does your organization have individuals/office named and responsibilities assigned to conduct backup activities?",A52,(A52): Does your practice have policies and procedures for the creation and secure storage of an electronic copy of ePHI that would be used in the case of system breakdown or disaster?,(A52): Does your practice have policies and procedures for the creation and secure storage of an electronic copy of ePHI that would be used in the case of system breakdown or disaster?,Required,"CP-1,CP-6"
28,164.308,164.308 Administrative Safeguards,164.308(a)(7)(ii)(B),(B) Disaster recovery plan (Required). Establish (and implement as needed) procedures to restore any loss of data.,Required,XXXXX,A53,(A53): Does your practice have policies and procedures for contingency plans to provide access to ePHI to continue operations after a natural or human-made disaster?,(A53): Does your practice have policies and procedures for contingency plans to provide access to ePHI to continue operations after a natural or human-made disaster?,Required,"CP-1,CP-6,CP-9"
29,164.308,164.308 Administrative Safeguards,164.308(a)(7)(ii)(C),(C) Emergency mode operation plan (Required). Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,Required,"Q: Has your organization established, and implemented when needed, procedures to enable continuation of critical business processes for the security of ePHI while your organization is operating in emergency mode?
Q: Has your organization identified your key activities and developed procedures to continue these key activities during an emergency?
Q: Has your organization also identified critical functions that use ePHI? 
Q: During the emergency would different staff/employees, facilities or systems be needed to perform these critical functions during the emergency?
Q: Can your organization assure the security of the ePHI in the alternative mode(s) operation? ",A54,(A54): Does your practice have an emergency mode operations plan to ensure the continuation of critical business processes that must occur to protect the availability and security of ePHI immediately after a crisis situation?,(A54): Does your practice have an emergency mode operations plan to ensure the continuation of critical business processes that must occur to protect the availability and security of ePHI immediately after a crisis situation?,Required,"AC-3,CP-2,CP-4"
30,164.308,164.308 Administrative Safeguards,164.308(a)(7)(ii)(D),(D) Testing and revision procedures (Addressable). Implement procedures for periodic testing and revision of contingency plans.,Addressable,"Q: Has your organization established and implemented as needed periodic testing procedures and for the revision of your organization's contingency plan?
Q: Has your organization tested its contingency plan on a predefined cycle? 
Q: Has your organization trained your staff/employees with defined plan responsibilities in their roles?
Q: Does your organization include external entities, including vendors, alternative site and service providers, in your testing exercises?
Q: Has your organization determined how the plan will be tested? Will it be a table top exercise, or a real operational scenario?
Q: Does your organizational testing lend itself to phased testing? Based on the assessment of business impact and acceptability of sustained loss of service?
Q: Does your organization test during normal business hours? 
Q: Or must testing take place during off hours? 
Q: How frequently does your organization test its plan? 
Q: Has your organization a timeline on when the contingency plan should be revised? ",A55,(A55): Does your practice have policies and procedures for testing its contingency plans on a periodic basis?,(A55): Does your practice have policies and procedures for testing its contingency plans on a periodic basis?,Addressable,"CP-1,CP-4"
31,164.308,164.308 Administrative Safeguards,164.308(a)(7)(ii)(E),(E) Applications and data criticality analysis (Addressable). Assess the relative criticality of specific applications and data in support of other contingency plan components.,Addressable,"Q: Has your organization identified the critical services or operations, and the manual and automated processes that support them, involving ePHI?
Q: Has your organization determined what hardware and software and personnel are critical to your organization's daily business operations?
Q: Has your organization determined the impact on desired service levels if these critical assets are not available?
Q: Has your organization outlined the nature and degree of impact on your operations if any of the critical resources are not available?
Q: Has your organization determined the amount of time your organization can tolerate disruption to these operations, material or services?
Q: Has your organization determine what, if any, support is or can be provided by external providers, including ISPs, utilities, or contractors?
Q: Has your organization established cost-effective strategies for recovering these critical services, resources, or processes?",A56,(A56): Does your practice implement procedures for identifying and assessing the criticality of its information system applications and the storage of data containing ePHI that would be accessed through the implementation of its contingency plans?,(A56): Does your practice implement procedures for identifying and assessing the criticality of its information system applications and the storage of data containing ePHI that would be accessed through the implementation of its contingency plans?,Addressable,"CP-2,CP-6,RA-2"
32,164.308,164.308 Administrative Safeguards,164.308(a)(8),"(8) Standard: Evaluation. Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that establishes the extent to which an entity's security policies and procedures meet the requirements of this subpart.",Standard,"Q: Does your organization have any existing reports or documentation that you had previously prepared or created by your organization addressing compliance, integration, or maturity of a particular or many security safeguard(s) deployed to protect ePHI that your can leverage for this evaluation?
Q: Has your organization established a frequency for security evaluations, and disseminated this information to your entire organization?
Q: Does your organization's security policies specify that security evaluations will be repeated when environmental and operational changes, such as technology updates, are made that affect the security of ePHI?
Q: Does your organization's frequency of security evaluation policies reflect any and all federal laws, regulations, and guidance documents that impact environmental or operational changes affecting the security of ePHI?
Q: Does your organization's corporate, legal, and regulatory compliance staff, employees, or workforce members participate when you conduct your analysis?
Q: Has your organization considered management, operational, and technical issues in your evaluation?
Q: Has your organization performed a periodic technical and nontechnical evaluation, based initially upon the standards implemented?
Q: Has your organization decided if your evaluation will be conducted by your internal staff and resources or by external consultants, or by a combination of internal and external resources?
Q: Do any of your organization's staff, employee or workforce members have the technical experience to evaluate your systems?
Q: Do your staff, employees, or workforce members have the training necessary on security technical and non-technical issues?
Q: Has your organization outlined the necessary factors to be considered in selecting an outside vendor, including credentials and experience?
Q: Does your organization use a strategy and tool that considers all the elements of the HIPAA Security Rule, including all standards and implementation specifications?
Q: Do the elements of each of your organization's evaluation procedure, including questions, statement and other components, address individual, measurable security safeguards of ePHI?
Q: Has your organization determined which security procedures must be tested in more than one system?
Q: Has your organization determined in advance what departments and staff, employees, and/or workforce members will participate in your security evaluation?
Q: Does your organization have senior management support for your security evaluation, and have they stated the need for everyone within your organization to participate in and support your security evaluation?
Q: Has your organization included staff, employees, or workforce members with IT knowledge in your security evaluation team and used during your evaluation?
Q: Has your organization collected and documented all information needed for your security evaluation, by interviews, surveys, and output of automated tools, for example, audit logging tools, results of penetration testing?
Q: Has your organization conducted penetration testing? Before the penetration testing did your organization have management approval for such testing?
Q: Has your organization formally communicated your security evaluation process to your staff, employees, and workforce members who have assigned roles and responsibilities in your evaluation process?
Q: Does your organization use automated tools to collect data and otherwise support your organization's evaluation process?
Q: Does your organization's evaluation process support the development of security recommendations?
Q: Has your organization documented each security evaluation finding, outlined mediation options and recommendations, and remediation decisions?
Q: Has your organization documented the known security gaps after your security evaluation between the known risks and your mitigating security controls, and any acceptance of risk, including your organization's justification?
Q: Has your organization developed a security program with established priorities and targets for continuous security improvement?
Q: In determining the best way to display evaluation results has your organization's written reports highlighted key findings and recommendations to be considered?
Q: Does your organization circulate your final report to key staff, employees, and workforce members?
Q: Do you have a process, procedures in place to make sure that the document is available only to those designated to receive it?","A57,A58,A59","(A57): Does your practice maintain and implement policies and procedures for assessing risk to ePHI and engaging in a periodic technical and non-technical evaluation in response to environmental or operational changes affecting the security of your practice’s ePHI?, (A58): Does your practice periodically monitor its physical environment, business operations, and information system to gauge the effectiveness of security safeguards?, (A59): Does your practice identify the role responsible and accountable for assessing risk and engaging in ongoing evaluation, monitoring, and reporting?","(A57): Does your practice maintain and implement policies and procedures for assessing risk to ePHI and engaging in a periodic technical and non-technical evaluation in response to environmental or operational changes affecting the security of your practice’s ePHI?
(A58): Does your practice periodically monitor its physical environment, business operations, and information system to gauge the effectiveness of security safeguards?
(A59): Does your practice identify the role responsible and accountable for assessing risk and engaging in ongoing evaluation, monitoring, and reporting?",Standard,"RA-1,SI-4,PE-6"
33,164.308,164.308 Administrative Safeguards,164.308(b)(1),"(b)(1) Standard: Business associate contracts and other arrangements. A covered entity, in accordance with § 164.306, may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a) that the business associate will appropriately safeguard the information.",Standard,"Q: Does your organization have business associate contracts? 
Q: Does your organization's business associate agreements (as written and executed) contain sufficient language to ensure that required information types are protected? Including the 2009, 2010, and 2011 HITECH Act updates and inclusions?
Q: Has your organization identified the individual or department who is responsible for coordinating the execution of your organization's business associate agreements and other such agreements?
Q: Does your organization periodically review and reevaluate your list of business associates to determine who has access to ePHI in order to assess whether your list is complete and current?
Q: Has your organization named your systems and functions covered by the contract/ agreement?
Q: Are your organization's outsourced functions also covered by contracts/agreements? 
Q: Are your organization's off-shore functions also covered by contracts/agreements? 
Q: Has your organization executed new and updated existing agreements or arrangements when necessary and appropriate?
Q: Does your organization's agreements and other arrangements include your business associate(s) roles and responsibilities for the ePHI?
Q: Does your organization's agreements and other arrangements include security requirements that address confidentiality, integrity and availability of ePHI?
Q: Do your organization's agreements and other arrangements include security requirements meet all the HIPAA Security Rule requirements per the HITECH Act?
Q: Do your organization's agreements and other arrangements include the appropriate training requirements, as necessary?
Q: Who/which office within your organization is responsible for coordinating and preparing the final agreement(s) or arrangement(s)?
Q: Do your organization's agreements and other arrangements specify how ePHI is to be transmitted to and from the business associate?
Q: Do your organization's agreements and other arrangements specify necessary security controls?
Q: Does your organization conduct periodic security reviews on your business associates or covered entities?
Q: Has your organization established criteria for measuring contract performance? 
Q: Do each of your organization's contracts or agreements include what service is being performed by the business associate?
Q: Do each of your organization's contracts or agreements include expected outcome by the business associate?
Q: Does your organization have in place a process for reporting security incidents related to the agreement?
Q: Does your organization have in place a process to periodically evaluate the effectiveness of the business associate's security controls?
Q: Does your organization have a process in place for terminating the contract, and has the business associate been advised what conditions would warrant termination?
Q: If your organization's business associate is a federal, state, or local government entity you may use a Memorandum of Understanding (MOU) to share ePHI. Does your MOU state all required safeguards for sharing ePHI?
Q: Does your organization know all the laws and regulations governing the use of ePHI by the governmental business associate?","A60,A61,A62","(A60): Does your practice identify the role responsible and accountable for making sure that business associate agreements are in place before your practice enables a service provider to begin to create, access, store or transmit ePHI on your behalf?, (A61): Does your practice maintain a list of all of its service providers, indicating which have access to your practice’s facilities, information systems and ePHI?, (A62): Does your practice have policies and implement procedures to assure it obtains business associate agreements?","(A60): Does your practice identify the role responsible and accountable for making sure that business associate agreements are in place before your practice enables a service provider to begin to create, access, store or transmit ePHI on your behalf?
(A61): Does your practice maintain a list of all of its service providers, indicating which have access to your practice’s facilities, information systems and ePHI?
(A62): Does your practice have policies and implement procedures to assure it obtains business associate agreements?",Standard,",MA-5,PS-7"
34,164.308,164.308 Administrative Safeguards,164.308(b)(2),"(2) This standard does not apply with respect to— (i) The transmission by a covered entity of electronic protected health information to a health care provider concerning the treatment of an individual. (ii) The transmission of electronic protected health information by a group health plan or an HMO or health insurance issuer on behalf of a group health plan to a plan sponsor, to the extent that the requirements of § 164.314(b) and § 164.504(f) apply and are met; or (iii) The transmission of electronic protected health information from or to other agencies providing the services at § 164.502(e)(1)(ii)(C), when the covered entity is a health plan that is a government program providing public benefits, if the requirements of § 164.502(e)(1)(ii)(C) are met.",,XXXXX,A63,"(A63): If your practice is the business associate of another covered entity and your practice has subcontractors performing activities to help carry out the activities that you have agreed to carry out for the other covered entity that involve ePHI, does your practice require these subcontractors to provide satisfactory assurances for the protection of the ePHI?","(A63): If your practice is the business associate of another covered entity and your practice has subcontractors performing activities to help carry out the activities that you have agreed to carry out for the other covered entity that involve ePHI, does your practice require these subcontractors to provide satisfactory assurances for the protection of the ePHI?",Required,
35,164.308,164.308 Administrative Safeguards,164.308(b)(3),"(3) A covered entity that violates the satisfactory assurances it provided as a business associate of another covered entity will be in noncompliance with the standards, implementation specifications, and requirements of this paragraph and § 164.314(a).",,XXXXX,A64,"(A64): Does your practice execute business associate agreements when it has a contractor creating, transmitting or storing ePHI?","(A64): Does your practice execute business associate agreements when it has a contractor creating, transmitting or storing ePHI?",Required,
36,164.308,164.308 Administrative Safeguards,164.308(b)(4),(4) Implementation specifications: Written contract or other arrangement (Required). Document the satisfactory assurances required by paragraph (b)(1) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of § 164.314(a).,Required,XXXXX,XXXXX,XXXXX,XXXXX,XXXXX,
37,164.31,164.310 Physical Safeguards,164.310(a)(1),"(a)(1) Standard: Facility access controls. Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Standard,"Q: Does your organization have facility access controls , policies and procedures? 
Q: Does your organization have policies and procedures regarding access to and use of your facilities and equipment?
Q: Does your organization have facility access control policies and procedures already in place? 
Q: Has your organization developed, disseminated, and periodically reviewed/updated a formal, documented a physical and environmental protection policy that address the purposes, scope, roles, responsibilities, management commitment, coordination among organizational entities and functions, and compliance?
Q: Does your organization have formal, documented procedures to facilitate implementation of the physical and environmental protection policy and associated physical and environmental controls?
Q: Does your organization have an inventory of your facilities and have identified the vulnerabilities in your current physical security capabilities?
Q: Has your organization assigned degrees of significance to each vulnerability that you have identified?
Q: Has your organization determined which types of locations require access controls to safeguard ePHI, such as: Data centers, Peripheral equipment centers, IT staff offices, Workstation locations, and Others?
Q: Does your organization have locks and cameras in nonpublic areas and are these reasonable and appropriate security controls?
Q: Are all your organization's workstations protected from public access and viewing? 
Q: Are all your organization's entrances and exits that lead to locations with ePHI secured? 
Q: Do normal and usual physical protections exist, such as locks on doors and windows? 
Q: Has your organization identified and assigned responsibility for the measures and activities necessary to correct deficiencies and ensure that proper access is allowed?
Q: Has your organization developed and deployed policies and procedures to ensure that repairs, upgrades and or modifications are made to your buildings and offices while ensuring that only proper access is allowed?
Q: Does your organization need to update your facility access control policies and procedures? 
Q: Has your organization trained your staff, employees, and workforce members in your facility access controls and procedures?
Q: Does your organization's staff, employees, and workforce members need facility access controls and procedures refresher training?
Q: How does your organization document your correction measures decisions and actions? 
Q: Has your organization developed and kept a current list of personnel with authorized access to the facility where the information systems resides?
Q: Does your organization issue authorization credentials, such as badges, identification cards, smart cards, for the facility where the information system resides?
Q: Does your organization periodically review and approve the access list and authorization credentials, removing form the access list personnel no longer requiring access?
Q: Does your organization enforce physical access authorization for all physical access points, including designated entry/exit points, to the facility where the information system resides?
Q: Does your organization verify individual access authorization before granting access to the facility?
Q: Is another workforce member other than the security official responsible for your organization's facility and physical security?
Q: Does your organization control entry to the facility containing the information system using physical access devices and/or guards?
Q: Does your organization periodically inventory physical access devices? 
Q: Does your organization periodically change combinations and keys, and when keys are lost, combinations compromised, or individuals are transferred or terminated?
Q: Does your organization control physical access to information system distribution and transmission lines, including locked wiring closets, disconnected or locked spare jacks, and protection of cabling by conduit and cable trays?","PH1,PH2,PH3,PH4","(PH1): Do you have an inventory of the physical systems, devices, and media in your office space that are used to store or contain ePHI?, (PH2): Do you have policies and procedures for the physical protection of your facilities and equipment?  This includes controlling the environment inside the facility., (PH3): Do you have policies and procedures for the physical protection of your facilities and equipment?  This includes controlling the environment inside the facility., (PH4): Do you have physical protections in place to manage physical security risks, such as a) locks on doors and windows and b) cameras in nonpublic areas to monitor all entrances and exits?","(PH1): Do you have an inventory of the physical systems, devices, and media in your office space that are used to store or contain ePHI?
(PH2): Do you have policies and procedures for the physical protection of your facilities and equipment?  This includes controlling the environment inside the facility.
(PH3): Do you have policies and procedures for the physical protection of your facilities and equipment?  This includes controlling the environment inside the facility.
(PH4): Do you have physical protections in place to manage physical security risks, such as a) locks on doors and windows and b) cameras in nonpublic areas to monitor all entrances and exits?",Standard,"PE-3,PE-2,PE-5,PE-1"
38,164.31,164.310 Physical Safeguards,164.310(a)(2),(2) Implementation specifications:,,Q: Does your organization have a contingency operations plan? ,XXXXX,XXXXX,XXXXX,XXXXX,
39,164.31,164.310 Physical Safeguards,163.310(a)(2)(i),(i) Contingency operations (Addressable). Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,Addressable,"Q: Has your organization determined who needs access to your facilities and offices in the event of a disaster?
Q: Who is named in your contingency plan as responsible for access to ePHI during a disaster? 
Q: Who in your organization is responsible for implementing the contingency plan for access to ePHI in each department, unit, and other office designation?
Q: Will your organization contingency plan be appropriate for all types of potential disasters, such as fire, flood, earthquake?
Q: Will your organization contingency plan be appropriate for all your facilities? 
Q: Does your organization have a backup plan for access to the your facility and / or the ePHI? ","PH5,PH6,PH7","(PH5): Do you plan and coordinate physical (facilities) and technical (information systems, mobile devices, or workstations) security-related activities (such as testing) before doing such activities to reduce the impact on your practice assets and individuals?, (PH6): Have you developed policies and procedures that plan for your workforce (and your information technology service provider or contracted information technology support) to gain access to your facility and its ePHI during a disaster?, (PH7): If a disaster happens, does your practice have another way to get into your facility or offsite storage location to get your ePHI?","(PH5): Do you plan and coordinate physical (facilities) and technical (information systems, mobile devices, or workstations) security-related activities (such as testing) before doing such activities to reduce the impact on your practice assets and individuals?
(PH6): Have you developed policies and procedures that plan for your workforce (and your information technology service provider or contracted information technology support) to gain access to your facility and its ePHI during a disaster?
(PH7): If a disaster happens, does your practice have another way to get into your facility or offsite storage location to get your ePHI?",Addressable,"CP-7,PE-17,CP-2,CP-6"
40,164.31,164.310 Physical Safeguards,164.310(a)(2)(ii),"(ii) Facility security plan (Addressable). Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access, tampering, and theft.",Addressable,"Q: Has your organization implemented measures to provide physical protection for the ePHI in your possession?
Q: Does your organization have documentation of your facility inventory, physical maintenance record, the history of physical changes, upgrades, and other modifications?
Q: Does your organization's inventory identify points of access to your facilities and the existing security controls used in these areas?
Q: Does your organization have procedures for security your facilities, including the exterior, the interior, and your equipment?
Q: Is a workforce member of your organization other than the security official responsible for the facility plan?
Q: Does your organization have a facility security plan in place, under revision, or under development?
Q: Does your organization periodically review your security plan for the information system? ","PH8,PH9,PH10,PH11","(PH8): Do you have policies and procedures for the protection of keys, combinations, and similar physical access controls?, (PH9): Do you have policies and procedures governing when to re-key locks or change combinations when, for example, a key is lost, a combination is compromised, or a workforce member is transferred or terminated?, (PH10): Do you have a written facility security plan?, (PH11): Do you take the steps necessary to implement your facility security plan?","(PH8): Do you have policies and procedures for the protection of keys, combinations, and similar physical access controls?
(PH9): Do you have policies and procedures governing when to re-key locks or change combinations when, for example, a key is lost, a combination is compromised, or a workforce member is transferred or terminated?
(PH10): Do you have a written facility security plan?
(PH11): Do you take the steps necessary to implement your facility security plan?",Addressable,PE-3
41,164.31,164.310 Physical Safeguards,163.310(a)(2)(iii),"(iii) Access control and validation procedures (Addressable). Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",Addressable,"Q: Does your organization have policies and procedures in place for controlling and validating access to your facilities by staff, employees, workforce members, visitors, and probationary employees?
Q: Does your organization monitor physical access to the information system to detect and respond to physical security incidents?
Q: Does your organization periodically review physical access logs? ","PH12,PH13,PH14,PH15,PH16","(PH12): Do you have a Facility User Access List of workforce members, business associates, and others who are authorized to access your facilities where ePHI and related information systems are located?, (PH13): Do you periodically review and approve a Facility User Access List and authorization privileges, removing from the Access List personnel no longer requiring access?, (PH14): Does your practice have procedures to control and validate someone’s access to your facilities based on that person’s role or job duties?, (PH15): Do you have procedures to create, maintain, and keep a log of who accesses your facilities (including visitors), when the access occurred, and the reason for the access?, (PH16): Has your practice determined whether monitoring equipment is needed to enforce your facility access control policies and procedures?","(PH12): Do you have a Facility User Access List of workforce members, business associates, and others who are authorized to access your facilities where ePHI and related information systems are located?
(PH13): Do you periodically review and approve a Facility User Access List and authorization privileges, removing from the Access List personnel no longer requiring access?
(PH14): Does your practice have procedures to control and validate someone’s access to your facilities based on that person’s role or job duties?
(PH15): Do you have procedures to create, maintain, and keep a log of who accesses your facilities (including visitors), when the access occurred, and the reason for the access?
(PH16): Has your practice determined whether monitoring equipment is needed to enforce your facility access control policies and procedures?",Addressable,
42,164.31,164.310 Physical Safeguards,163.310(a)(2)(iv),"(iv) Maintenance records (Addressable). Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks).",Addressable,"Q: Has your organization developed and implemented polices and procedures to document repairs and modification to the physical components of your facilities specifically related to security?
Q: Has your organization developed, disseminated, and periodically reviewed/updated your formal, documented information system maintenance policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organization entities, and compliance?
Q: Does your organization have formal, documented procedures to facilitate the implementation of your information system maintenance policy and associated system maintenance controls?
Q: Does your organization maintain records of repairs to hardware, walls, doors, and locks? 
Q: Has your organization assigned responsibility to an individual or office for the maintenance to repair and modification records?
Q: Does your organization control all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on site or removed to another location?
Q: Does your organization require that the designated official explicitly approve the removal of the information system or system components from your organization's facilities fro off-site maintenance or repairs?
Q: Does your organization sanitize equipment to remove all information from associated media prior to removal from your organization's facilities for off-site maintenance?
Q: Does your organization obtain support and/or spare parts for you organization's security- critical information systems components or key information technology components with in a designated time period of failure?","PH17,PH18","(PH17): Do you have maintenance records that include the history of physical changes, upgrades, and other modifications for your facilities and the rooms where information systems and ePHI are kept?, (PH18): Do you have a process to document the repairs and modifications made to the physical security features that protect the facility, administrative offices, and treatment areas?","(PH17): Do you have maintenance records that include the history of physical changes, upgrades, and other modifications for your facilities and the rooms where information systems and ePHI are kept?
(PH18): Do you have a process to document the repairs and modifications made to the physical security features that protect the facility, administrative offices, and treatment areas?",Addressable,
43,164.31,164.310 Physical Safeguards,164.310(b),"(b) Standard: Workstation use. Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",Standard,"Q: Does your organization have workstation use policies and procedures? 
Q: Has your organization developed and implemented polices and procedures for proper use and performance of all types of workstations, including for day-to-day operations?
Q: Does your organization have an inventory of workstation types and locations within your organization?
Q: Has your organization included all types of computing devices in your inventory of workstations, such as laptops, PDAs, tablets (iPads), smart phones, and others?
Q: Has your organization named an individual or office responsible for this inventory and its maintenance?
Q: Has your organization developed and implemented policies and procedures for each type of workstation device, including accommodating their unique issues?
Q: Has your organization classified your workstations based on their capabilities, and defined the tasks commonly performed on a given workstation or type of workstation?
Q: Has your organization identified key operational risks that could result in a breach of security from all types of workstations, and trained your staff, employees, and workforce members on predictable breaches?
Q: Does your organization have policies and procedures that will prevent unauthorized access of unattended workstations, limit the ability of unauthorized persons to view sensitive information, and to dispose of sensitive information an needed?
Q: Has your organization trained your staff, employees or workforce members in the security requirements for ePHI use in their day-to-day jobs?
Q: Does your organization:1) document allowed methods or remote access to the information system?
Q: Does your organization: 3) monitor for unauthorized remote access to the information system?
Q: Does your organization: 4) authorize remote access to the information system prior to the connection?
Q: Does your organization: 1) establish usage restrictions and implementation guidance for organization-controlled mobile devices?
Q: Does your organization: 3) monitor for unauthorized connections of mobile devices to your organization's information system?
Q: Does your organization: 6) issue specifically configured mobile devices to individuals traveling to locations that your organization deems to be of significant risk in accordance with organizational policies and procedures?","PH19,PH20,PH21","(PH19): Does your practice keep an inventory and a location record of all of its workstation devices?, (PH20): Has your practice developed and implemented workstation use policies and procedures?, (PH21): Has your practice documented how staff, employees, workforce members, and non-employees access your workstations?","(PH19): Does your practice keep an inventory and a location record of all of its workstation devices?
(PH20): Has your practice developed and implemented workstation use policies and procedures?
(PH21): Has your practice documented how staff, employees, workforce members, and non-employees access your workstations?",Standard,
