Audit Type,Section,Key Activity,Established Performance Criteria,Audit Inquiry,Required / Addressable,Policy
,,,(i) A covered health care provider may condition the provision of research-related treatment on provision of an authorization for the use or disclosure of protected health information for such research under this section;,,,
,,,"(ii) A health plan may condition enrollment in the health plan or eligibility for benefits on provision of an authorization requested by the health plan prior to an individual's enrollment in the health plan, if:",Obtain and review policies and procedures related to seeking authorizations from individuals.,,
,,,(A) The authorization sought is for the health plan's eligibility or enrollment determinations relating to the individual or for its underwriting or risk rating determinations; and,Obtain and review a sample of conditioned authorizations to assess whether the exceptions listed in the established performance criterion have been applied consistent with its requirements.,,
,,,(B) The authorization is not for a use or disclosure of psychotherapy notes under paragraph (a)(2) of this section; and,,,
,,,(iii) A covered entity may condition the provision of health care that is solely for the purpose of creating protected health information for disclosure to a third party on provision of an authorization for the disclosure of the protected health information to such third party.,,,
Privacy,§164.508(b)(6) and §164.508(c)(1-4),Uses and Disclosures for which an Authorization is Required – Documentation and Content,§164.508(b)(6) Documentation. A covered entity must document and retain any signed authorization under this section as required by §164.530(j).,"Does the covered entity document and retain signed, valid authorizations?",,
,,,,,,
,,,§164.508(c) Implementation specifications: Core elements and requirements. (1) Core elements. A valid authorization under this section must contain at least the following elements:,Obtain and review a sample of authorizations used as the basis for making uses and disclosures to determine if the authorizations are valid.,,
,,,(i) A description of the information to be used or disclosed that identifies the information in a specific and meaningful fashion.,,,
,,,"(ii) The name or other specific identification of the person(s), or class of persons, authorized to make the requested use or disclosure.",,,
,,,"(iii) The name or other specific identification of the person(s), or class of persons, to whom the covered entity may make the requested use or disclosure.",,,
,,,"(iv) A description of each purpose of the requested use or disclosure. The statement “at the request of the individual” is a sufficient description of the purpose when an individual initiates the authorization and does not, or elects not to, provide a statement of the purpose.",,,
,,,"(v) An expiration date or an expiration event that relates to the individual or the purpose of the use or disclosure. The statement “end of the research study,” “none,” or similar language is sufficient if the authorization is for a use or disclosure of protected health information for research, including for the creation and maintenance of a research database or research repository.",,,
,,,"(vi) Signature of the individual and date. If the authorization is signed by a personal representative of the individual, a description of such representative's authority to act for the individual must also be provided.",,,
,,,"§164.508(c)(2) Required Statements. In addition to the core elements, the authorization must contain statements adequate to place the individual on notice of all of the following:",,,
,,,(i) The individual's right to revoke the authorization in writing and either:,,,
,,,"(ii) The ability or inability to condition treatment, payment, enrollment or eligibility for benefits on the authorization.",,,
,,,(iii) The potential for information disclosed pursuant to the authorization to be subject to redisclosure by the recipient can no longer be protected by this subpart.,,,
,,,§164.508(c)(3) The authorization must be written in plain language.,,,
,,,"§164.508(c)(4) If a covered entity seeks an authorization from an individual for a use or disclosure of protected health information, the covered entity must provide the individual with a copy of the signed authorization.",,,
Privacy,§164.510(a)(1) and §164.510(a)(2),Use and Disclosure for Facility Directories; Opportunity to Object,"§164.510(a) Standard: Use and disclosure for facility directories. (1) Permitted uses and disclosure. Except when an objection is expressed in accordance with paragraph (a)(2) or (3) of this section, a covered health care provider may:",Does the entity maintain a directory of individuals in its facility?,,
,,,(i) Use the following protected health information to maintain a directory of individuals in its facility:,,,
,,,(A) The individual's name;,Obtain and review policies and procedures that address determining if the individual has objected to uses and disclosures for facility directories and for documenting such determination.,,
,,,(B) The individual's location in the covered health care provider's facility;,,,
,,,(C) The individual's condition described in general terms that does not communicate specific medical information about the individual; and,Obtain and review a sample of the directory of individuals in the entity's facility that exists on the specified date and related documentation of individual objections. Evaluate the content against documentation of individual objections and against the listed content criteria.,,
,,,(D) The individual's religious affiliation; and,,,
,,,(ii) Use or disclose for directory purposes such information:,,,
,,,(A) To member of the clergy; or,,,
,,,"(B) Except for religious affiliation, to other persons who ask for the individual by name.",,,
,,,(2) Opportunity to object. A covered health care provider must inform an individual of the protected health information that it may include in a directory and the persons to whom it may disclose such information (including disclosures to clergy of information regarding religious affiliation) and provide the individual with the opportunity to restrict or prohibit some or all of the uses or disclosures permitted by paragraph (a)(1) of this section.,,,
Privacy,§164.510(a)(3),Uses and Disclosures for Facility Directories in Emergency Circumstances,"§164.510(a)(3) Emergency circumstances. (i) If the opportunity to object to uses or disclosures required by paragraph (a)(2) of this section cannot practicably be provided because of the individual's incapacity or an emergency treatment circumstance, a covered health care provider may use or disclose some or all of the protected health information permitted by paragraph (a)(1) of this section for the facility's directory, if such disclosure is: (A) Consistent with a prior expressed preference of the individual, if any, that is known to the covered health care provider; and (B) In the individual's best interest as determined by the covered health care provider, in the exercise of professional judgment. (ii) The covered health care provider must inform the individual and provide an opportunity to object to uses or disclosures for directory purposes as required by paragraph (a)(2) of this section when it becomes practicable to do so.",Do policies and procedures exist to use or disclose PHI for the facility directory in emergency circumstances?,,
,,,,,,
,,,,Obtain and review the policies and procedures used to disclose PHI for the facility directory due to an emergency circumstance.,,
Privacy,§164.510(b)(1),Permitted uses and disclosures,§164.510(b) Standard: Uses and disclosures for involvement in the individual's care and notification purposes,"What policies and procedures exist for disclosing PHI to family members, relatives, close personal friends, or other persons identified by the individual?",,
,,,"(1) Permitted uses and disclosures. (i) A covered entity may, in accordance with paragraphs (b)(2), (b)(3), or (b)(5) of this section, disclose to a family member, other relative, or a close personal friend of the individual, or any other person identified by the individual, the protected health information directly relevant to such person’s involvement with the individual’s health care or payment related to the individual’s health care.",,,
,,,"(ii) A covered entity may use or disclose protected health information to notify, or assist in the notification of (including identifying or locating), a family member, a personal representative of the individual, or another person responsible for the care of the individual of the individual's location, general condition, or death. Any such use or disclosure of protected health information for such notification purposes must be in accordance with paragraphs (b)(2), (b)(3), (b)(4), or (b)(5) of this section, as applicable.",Obtain and review policies and procedures for such disclosures.,,
Privacy,§164.510(b)(2),Uses and disclosures with the individual present,§164.510(b) Standard: Uses and disclosures for involvement in the individual's care and notification purposes,Under what circumstances does the covered entity disclose PHI to persons involved in the individual's care when the individual is present?,,
,,,"(2) Uses and disclosures with the individual present. If the individual is present for, or otherwise available prior to, a use or disclosure permitted by paragraph (b)(1) of this section and has the capacity to make health care decisions, the covered entity may use or disclose the protected health information if it:",,,
,,,(i) Obtains the individual's agreement;,Obtain and review policies and procedures for determining or inferring individual agreement or lack of objection to disclosure of PHI with the individual present.,,
,,,"(ii) Provides the individual with the opportunity to object to the disclosure, and the individual does not express an objection; or",,,
,,,"(iii) Reasonably infers from the circumstances, based on the exercise of professional judgment, that the individual does not object to the disclosure.",,,
Privacy,§164.510(b)(3),Limited uses and disclosures when the individual is not present,"§164.510(b)(3) Limited uses and disclosures when the individual is not present. If the individual is not present, or the opportunity to agree or object to the use or disclosure cannot practicably be provided because of the individual’s incapacity or an emergency circumstance, the covered entity may, in the exercise of professional judgment, determine whether the disclosure is in the best interests of the individual and, if so, disclose only the protected health information that is directly relevant to the person’s involvement with the individual’s care or payment related to the individual’s health care or needed for notification purposes. A covered entity may use professional judgment and its experience with common practice to make reasonable inferences of the individual's best interest in allowing a person to act on behalf of the individual to pick up filled prescription, medical supplies, X-rays, or other similar forms of protected health information.",Do policies and procedures exist for disclosing only information relevant to the person's involvement in the individual's health care when the individual is not present and in related situations?,,
,,,,,,
,,,,Obtain and review the policies and procedures used for disclosing only information relevant to the person's involvement with the individual's health care.,,
Privacy,§164.510(b)(4),Uses and disclosures for disaster relief purposes,§164.510(b) Standard: Uses and disclosures for involvement in the individual's care and notification purposes,Do policies and procedures exist for disclosing PHI to a public or private entity authorized by law or by its charter to assist in disaster relief efforts? Obtain and review policies and procedures in relation to such use or disclosure.,,
,,,"(4) Uses and disclosures for disaster relief purposes. A covered entity may use or disclose protected health information to a public or private entity authorized by law or by its charter to assist in disaster relief efforts, for the purpose of coordinating with such entities the uses or disclosures permitted by paragraph (b)(1)(ii) of this section. The requirements in paragraphs (b)(2), (b)(3) or (b)(5) of this section apply to such uses and disclosures to the extent that the covered entity, in the exercise of professional judgment, determines that the requirements do not interfere with the ability to respond to the emergency circumstances.",,,
Privacy,§164.510(b)(5),Uses and disclosures when the individual is deceased,"164.510(b) Standard: Uses and disclosures for involvement in the individual's care and notification purposes (5) Uses and disclosures when the individual is deceased. If the individual is deceased, a covered entity may disclose to a family member, or other persons identified in paragraph (b)(1) of this section who were involved in the individual’s care or payment for health care prior to the individual’s death, protected health information of the individual that is relevant to such person’s involvement, unless doing so is inconsistent with any prior expressed preference of the individual that is known to the covered entity.",Does the covered entity disclose the PHI of deceased individuals in accordance with the established performance criterion?,,
,,,,"Obtain and review policies and procedures related to documenting the individual’s prior expressed preference and relationship of family members and other persons to the individual’s care or payment for care, consistent with the established performance criterion.",,
,,,,Note: any information that would otherwise constitute PHI of a decedent under §160.201 ceases to be PHI 50 years after the death of the decedent.,,
Privacy,§164.512(a),Uses and disclosures required by law,§164.512(a)(1) - A covered entity may use or disclose protected health information to the extent that such use or disclosure is required by law and the use or disclosure complies and is limited to the relevant requirements of such law.,"Does the covered entity use and disclose PHI pursuant to requirements of other law? If so, are such uses and disclosures made consistent with the requirements of this performance criterion as well as the applicable requirements related to victims of abuse, neglect or domestic violence, pursuant to judicial and administrative proceedings and law enforcement purposes of this section? Obtain and review policies and procedures for uses and disclosures required by law.",,
,,,,,,
,,,"§164.512(a)(2) - A covered entity must meet the requirements described in paragraph (c), (e), or (f) of this section for uses or disclosures required by law.",,,
Privacy,§164.512(b),Uses and disclosures for public health activities,§164.512(b) Standard: Uses and disclosures for public health activities.,Are policies and procedures in place that specify how the covered entity uses or disclosures PHI for public health activities consistent with this standard?,,
,,,(1) Permitted uses and disclosures. A covered entity may use or disclose protected health information for the public health activities and purposes described in this paragraph to:,Obtain and review policies and procedures in relation to the established performance criterion regarding permitted uses and disclosures for public health activities.,,
,,,"(i) A public health authority that is authorized by law to collect or receive such information for the purpose of preventing or controlling disease, injury, or disability, including, but not limited to, the reporting of disease, injury, vital events such as birth or death, and the conduct of public health surveillance, public health investigations, and public health interventions; or, at the direction of a public health authority, to an official of a foreign government agency that is acting in collaboration with a public health authority;",,,
,,,(ii) A public health authority or other appropriate government authority authorized by law to receive reports of child abuse or neglect.,"Obtain and review a sample of such uses and disclosures, to include uses and disclosures to an employer about an individual who is a member of the workforce of the employer, and determine whether all criteria were met.",,
,,,"(iii) A person subject to the jurisdiction of the Food and Drug Administration (FDA) with respect to an FDA-regulated products or activity for which that person has responsibility, for the purpose of activities related to the quality, safety or effectiveness of such FDA-regulated product or activity. Such purposes include:",,,
,,,"(A) To collect or report adverse events (or similar activities with respect to food or dietary supplements), product defects or problems (including problems with the use or labeling of a product), or biological product deviations; (B) To track FDA-regulated products; (C) To enable product recalls, repairs, or replacement, or look back (including locating and notifying individuals who have received products that have been, withdrawn, or are the subject of look back); or (D) To conduct post marketing surveillance; (iv) A person who may have been exposed to a communicable disease or may otherwise be at risk of contracting or spreading a disease or condition, if the covered entity or public health authority is authorized by law to notify such person as necessary in the conduct of a public health intervention or investigation; or",,,
,,,"(v) An employer, about an individual who is a member of the workforce of the employer, if:",,,
,,,(A) The covered entity is a covered health care provider who provides health care to the individual at the request of the employer:,,,
,,,(1) To conduct an evaluation relating to medical surveillance of the workplace; or,,,
,,,(2) To evaluate whether the individual has a work-related illness or injury;,,,
,,,(B) The protected health information that is disclosed consists of findings concerning a work-related illness or injury or a workplace-related medical surveillance;,,,
,,,"(C) The employer needs such findings in order to comply with its obligations, under 29 CFR parts 1904 through 1928, 30 CFR parts 50 through 90, or under state law having a similar purpose, to record such illness or injury or to carry out responsibilities for workplace medical surveillance; and",,,
,,,(D) The covered health care provider provides written notice to the individual that protected health information relating to the medical surveillance of the workplace and work-related illnesses and injuries is disclosed to the employer:,,,
,,,(1) By giving a copy of the notice to the individual at the time the health care is provided; or,,,
,,,"(2) If the health care is provided on the work site of the employer, by posting the notice in a prominent place at the location where the health care is provided.",,,
,,,"(vi) A school, about an individual who is a student or prospective student of the school, if:",,,
,,,(A) The protected health information that is disclosed is limited to proof of immunization;,,,
,,,(B) The school is required by State or other law to have such proof of immunization prior to admitting the individual; and (C) The covered entity obtains and documents the agreement to the disclosure from either:,,,
,,,"(1) A parent, guardian, or other person acting in loco parentis of the individual, if the individual is an unemancipated minor; or",,,
,,,"(2) The individual, if the individual is an adult or emancipated minor.",,,
,,,"(2) Permitted uses. If the covered entity also is a public health authority, the covered entity is permitted to use protected health information in all cases in which it is permitted to disclose such information for public health activities under paragraph (b)(1) of this section.",,,
Privacy,§164.512(c),"Disclosures about victims of abuse, neglect or domestic violence","§164.512(c) Standard: Disclosures about victims of abuse, neglect or domestic violence","How does the covered entity determine whether and how to make disclosures about victims of abuse, neglect, or domestic violence consistent with this standard?",,
,,,"(1) Permitted disclosures. Except for reports of child abuse or neglect permitted by paragraph (b)(1)(ii) of this section, a covered entity may disclose protected health information about an individual whom the covered entity reasonably believes to be a victim of abuse, neglect, or domestic violence to a government authority, including a social service or protective services agency, authorized by law to receive reports of such abuse, neglect, or domestic violence: (i) To the extent the disclosure is required by law and the disclosure complies with and is limited to the relevant requirements of such law; (ii) If the individual agrees to the disclosure; or (iii) To the extent the disclosure is expressly authorized by statute or regulation and: (A) The covered entity, in the exercise of professional judgment, believes the disclosure is necessary to prevent serious harm to the individual or other potential victims; or (B) If the individual is unable to agree because of incapacity, a law enforcement or other public official authorized to receive the report represents that the protected health information for which disclosure is sought is not intended to be used against the individual and that an immediate enforcement activity that depends upon the disclosure would be materially and adversely affected by waiting until the individual is able to agree to the disclosure.",,,
,,,,Obtain and review policies and procedures. When and in what instances will the individual be notified that a disclosure has been or will be made?,,
,,,"§164.512(c)(2) Informing the individual. A covered entity that makes a disclosure permitted by paragraph (c)(1) of this section must promptly inform the individual that such a report has been or will be made, except if: (i) The covered entity, in the exercise of professional judgment, believes informing the individual would place the individual at risk of serious harm; or (ii) The covered entity would be informing a personal representative, and the covered entity reasonably believes the personal representative is responsible for the abuse, neglect, or other injury, and that informing such person would not be in the best interests of the individual as determined by the covered entity, in the exercise of professional judgment.",,,
Privacy,§164.512(d),Uses and disclosures for health oversight activities,§164.512(d) Standard: Uses and disclosures for health oversight activities,Is PHI used or disclosed for health oversight activities consistent with the established performance criterion?,,
,,,"(1) Permitted disclosures. A covered entity may disclose protected health information to a health oversight agency for oversight activities authorized by law, including audits; civil, administrative, or criminal investigations; inspections; licensure or disciplinary actions; civil, administrative, or criminal proceedings or actions; or other activities necessary for appropriate oversight of:",,,
,,,(i) The health care system;,Obtain and review policies and procedures for using or disclosing PHI for health oversight activities.,,
,,,(ii) Government benefit programs for which health information is relevant to beneficiary eligibility;,,,
,,,(iii) Entities subject to government regulatory programs for which health information is necessary for determining compliance with program standards; or,Obtain a sample of disclosures made for this purpose and verify that the established performance criterion have been met.,,
,,,(iv) Entities subject to civil rights laws for which health information is necessary for determining compliance.,"Regarding §164.512(d)(4), is the covered entity also a health oversight agency? If so, is PHI used for health oversight activities conducted by the covered entity?",,
,,,,,,
,,,"§164.512(d)(2) Exception to health oversight activities. For the purpose of the disclosures permitted by paragraph (d)(1) of this section, a health oversight activity does not include an investigation or other activity in which the individual is the subject of the investigation or activity and such investigation or other activity does not arise out of and is not directly related to:","If yes, obtain and review policies and procedures for using PHI for health oversight activities conducted by the covered entity and determine whether they are consistent with the requirements of the established performance criterion.",,
,,,(i) The receipts of health care;,,,
,,,(ii) A claim for public benefits related to health; or,Obtain a sample of uses made for this purpose and verify that the established performance criterion have been met.,,
,,,"(iii) Qualification for, or receipt of, public benefits or services when a patient's health is integral to the claim for public benefits or services.",,,
,,,,,,
,,,"§164.512(d)(3) Joint activities or investigations. Notwithstanding paragraph (d)(2) of this section, if a health oversight activity or investigation is conducted in conjunction with an oversight activity or investigation relating to a claim for public benefits not related to health, the joint activity or investigation is considered a health oversight activity for purposes of paragraph (d) of this section.",,,
,,,,,,
,,,"§164.512(d)(4) Permitted uses. If a covered entity also is a health oversight agency, the covered entity may use protected health information for health oversight activities as permitted by paragraph (d) of this section.",,,
Privacy,§164.512(e),Disclosures for judicial and administrative proceedings,§164.512(e)(1) Permitted disclosures. A covered entity may disclose protected health information in the course of any judicial or administrative proceeding:,Do policies and procedures exist related to making disclosures in the course of any judicial or administrative proceeding to limit such disclosures to those permitted by the established performance criterion?,,
,,,"(i) In response to an order of a court or administrative tribunal, provided that the covered entity discloses only the protected health information expressly authorized by such order; or",Obtain and review policies and procedures related to disclosures of PHI made pursuant to judicial and administrative proceedings.,,
,,,"(ii) In response to a subpoena, discovery request, or other lawful process, that is not accompanied by an order of a court or administrative tribunal, if:","Obtain and review a sample of disclosures and the corresponding court orders, subpoenas, or discovery requests for judicial and administrative proceedings. Elements to consider include, but are not limited to, whether",,
,,,"(A) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iii) of this section, from the party seeking the information that reasonable efforts have been made by such party of the protected health information that has been requested has been given notice of the request; or",the disclosure of PHI:,,
,,,"(B) The covered entity receives satisfactory assurance, as described in paragraph (e)(1)(iv) of this section, from the party seeking the information that reasonable efforts have been made by such party to secure a qualified protective order that meets the requirements of paragraph (e)(1)(v) of this section.",-Is in response to an order of a court or administrative tribunal,,
,,,"(iii) For the purposes of paragraph (e)(1)(ii)(A) of this section, a covered entity receives satisfactory assurances from a party seeking protected health information if the covered entity receives from such party a written statement and accompanying documentation demonstrating that:","-Is in response to a subpoena, discovery request, or other lawful process.",,
,,,"(A) The party requesting such information has made a good faith attempts to provide written notice to the individual (or, if the individual's location is unknown, to mail a notice to the individual's last known address);","Verify disclosure of PHI in the course of any judicial or administrative proceeding is appropriate. Elements to consider should consist of the established performance criterion and include, but are not limited to:",,
,,,(B) The notice included sufficient information about the litigation or proceeding in which the protected health information is requested to permit the individual to raise an objection to the court or administrative tribunal; and,-A court order requesting a response,,
,,,"(C) The time for the individual to raise objections to the court or administrative tribunal has elapsed, and",-A subpoena.,,
,,,(1) No objections were filed; or,,,
,,,(2) All objections filed by the individual have been resolved by the court or the administrative tribunal and the disclosures being sought are consistent with such resolution.,,,
,,,"(iv) For the purpose of paragraph (e)(1)(ii)(B) of this section, a covered entity receives satisfactory assurance from a party seeking protected health information, if the covered entity receives from such party a written statement and accompanying documentation demonstrating that:",,,
,,,(A) The parties to the dispute given rise to the request for information have agreed to a qualified protective order and have presented it to the court or administrative tribunal with jurisdiction over and dispute; or,,,
,,,(B) The party seeking the protected health information has requested a qualified protective order from such court or administrative tribunal.,,,
,,,"(v) For purpose of paragraph (e)(1) of this section, a qualified protective order means, with respect to protected health information requested under paragraph (e)(1)(ii) of this section, an order of a court of an administrative tribunal stipulation by the parties to the litigation or administrative proceeding that:",,,
,,,(A) Prohibits the parties from using or disclosing the protected health information for any purpose other than the litigation or proceeding for which such information was requested; and,,,
,,,(B) Requires the return to the covered entity or destruction of the protected health information (including all copies made) at the end of the litigation or proceeding.,,,
,,,"(vi) Notwithstanding paragraph (e)(1)(ii) of this section, a covered entity may disclose protected health information in response to lawful process described in paragraph (e)(1)(ii) of this section without receiving satisfactory assurance under paragraph (e)(1)(ii)(A) or (B) of this section, if the covered entity makes reasonable efforts to provide notice to the individual sufficient to meet the requirements of paragraph (e)(1)(iii) of this section or to seek a qualified protective order sufficient to meet the requirements of paragraph (e)(1)(v) of this section.",,,
,,,(2) Other uses and disclosures under this section. The provisions of this paragraph do not supersede other provisions of this section that otherwise permit or restrict uses or disclosures of protected health information.,,,
Privacy,§164.512(f)(1),Disclosures for law enforcement purposes,"§164.512(f) Standard: Disclosures for law enforcement purposes. A covered entity may disclose protected health information for a law enforcement purpose to a law enforcement official if the conditions in paragraphs (f)(1) through (f)(6) of this section are met, as applicable.",Have disclosures made by the covered entity for law enforcement purposes been consistent with the performance criterion?,,
,,,(1) Permitted disclosures: Pursuant to process and as otherwise required by law. A covered entity may disclose protected health information:,Obtain and review policies and procedures related to disclosures of PHI for law enforcement purposes against the established performance criterion.,,
,,,"(i) As required by law including laws that require the reporting of certain types of wounds or other physical injuries, except for laws subject to paragraph (b)(1)(ii) or (c)(1)(i) of this section; or",,,
,,,(ii) In compliance with and as limited by the relevant requirements of:,"Obtain and review a sample, as available, of disclosures and the corresponding court orders, subpoenas, discovery requests, etc., and determine if such disclosures are consistent with the established performance criterion.",,
,,,"(A) A court order or court-ordered warrant, or a subpoena or summons issued by a judicial officer;",,,
,,,(B) A grand jury subpoena; or,,,
,,,"(C) An administrative request, including an administrative subpoena or summons, a civil or an authorized investigative demands, or similar process authorized under law, provided that:",,,
,,,(1) The information sought is relevant and material to a legitimate law enforcement inquiry;,,,
,,,(2) The request is specific and limited in scope to the extent reasonably practicable in light of the purpose for which the information is sought; and,,,
,,,(3) De-identified information could not reasonably be used.,,,
Privacy,§164.512(f)(2),Disclosures for law enforcement purposes - for identification and location -,"§164.512(f)(2) Permitted disclosures: Limited information for identification and location purposes. Except for disclosures required by law as permitted by paragraph (f)(1) of this section, a covered entity may disclose protected health information in response to a law enforcement official's request for such information for the purpose of identifying or locating a suspect, fugitive, material witness, or missing person, provided that:",Are disclosures made to law enforcement for identification and location purposes by the covered entity consistent with the limitations listed in the established performance criterion?,,
,,,(i) The covered entity may disclose only the following information:,,,
,,,(A) Name and address;,Obtain and review policies and procedures related to disclosures of PHI to law enforcement officials for identification and location purposes.,,
,,,(B) Date and place of birth;,Obtain and review a sample of responses to law enforcement officials request for PHI for identification and location purposes and assess whether the disclosures were consistent with the established performance criterion.,,
,,,(C) Social security number;,,,
,,,(D) ABO blood type and rh factor;,,,
,,,(E) Type of injury;,,,
,,,(F) Date and time of treatment;,,,
,,,"(G) Date and time of death, if applicable; and",,,
,,,"(H) A description of distinguishing physical characteristics, including height, weight, gender, race, hair and eye color, presence or absence of facial hair (beard or moustache), scars, and tattoos.",,,
,,,"(ii) Except as permitted by paragraph (f)(2)(i) of this section, the covered entity may not disclose for the purpose of identification or location under paragraph (f)(2) of this section any protected health information related to the individual's DNA or DNA analysis, dental records, or typing, samples or analysis of blood fluids or tissue.",,,
Privacy,§164.512(f)(3),Disclosures for law enforcement purposes-- PHI of a possible victim of a crime,"§164.512(f)(3) Permitted disclosure: Victims of a crime. Except for disclosures required by law as permitted by paragraph (f)(1) of this section, a covered entity may disclose protected health information in response to a law enforcement official's request for such information about an individual who is or is suspected to be a victim of a crime, other than disclosures that are subject to paragraph (b) or (c) of this section, if:",Are policies and procedures consistent with the established performance criterion regarding the conditions in which the covered entity may disclose PHI of a possible victim of a crime in response to a law enforcement official's request?,,
,,,(i) The individual agrees to the disclosure; or,,,
,,,"(ii) The covered entity is unable to obtain the individual's agreement because of incapacity or other emergency circumstance, provided that:","Obtain and review policies and procedures related to such disclosures of PHI to law enforcement. If any, obtain and review a sample of responses to a law enforcement official's request to determine whether disclosure was made consistent with the established performance criterion.",,
,,,"(A) The law enforcement official represents that such information is needed to determine whether a violation of law by a person other than the victim has occurred, and such information is not intended to be used against the victim;",,,
,,,(B) The law enforcement official represents that immediate law enforcement activity that depends upon the disclosure would be materially and adversely affected by waiting until the individual is able to agree to the disclosure; and,,,
,,,"(C) The disclosure is in the best interest of the individual as determined by the covered entity, in the exercise of professional judgment.",,,
Privacy,§164.512(f)(4),Disclosures for law enforcement purposes-- an individual who has died as a result of suspected criminal conduct,§164.512(f)(4) Permitted disclosure: Decedents. A covered entity may disclose protected health information about an individual who has died to a law enforcement official for the purpose of alerting law enforcement of the death of the individual if the covered entity has a suspicious that such death may have resulted from criminal conduct.,Are policies and procedures in place to determine when it is permitted to disclose PHI to law enforcement about an individual who has died as a result of suspected criminal conduct?,,
,,,,Obtain and review policies and procedures related to disclosures of PHI to law enforcement officials that address the requirement.,,
,,,,"Obtain and review documentation of such a disclosure, if available. Elements to consider include, but are not limited to, documentation of:",,
,,,,-Whether the entity exercised professional judgment,,
,,,,-Whether the entity believes in good faith that there was evidence of criminal conduct.,,
Privacy,§164.512(f)(5),Disclosures for law enforcement purposes: crime on premises,§164.512(f)(5) Permitted disclosure: Crime on premises. A covered entity may disclose to a law enforcement official protected health information that the covered entity believes in good faith constitutes evidence of criminal conduct that occurred on the premises of the covered entity.,Are policies and procedures in place to determine when it is permitted to disclose PHI about an individual who may have committed a crime on the premises?,,
,,,,,,
,,,,Determine whether policies and procedures related to disclosures of PHI to law enforcement officials address the established performance criterion.,,
,,,,"Obtain and review a disclosure, if available. Elements to consider include, but are not limited to, documentation of:",,
,,,,-Whether the entity exercised professional judgment,,
,,,,-Whether the entity believes in good faith that there was evidence of criminal conduct that occurred on its premises.,,
,,,,,,
Privacy,§164.512(f)(6),Disclosures for law enforcement purposes,§164.512(f)(6) Permitted disclosure: Reporting crime in emergencies.,Are policies and procedures in place to determine what information about a medical emergency is necessary to disclose to alert law enforcement?,,
,,,"(i) A covered health care provider providing emergency health care in response to a medical emergency, other than such emergency on the premises of the covered health care provider, may disclose protected health information to a law enforcement official if such disclosure appears necessary to alert law enforcement to: (A) The commission and nature of a crime; (B) The location of such crime or of the victim(s) of such crime; and (C) The identity, description, and location of the perpetrator of such crime.",Determine whether policies and procedures related to disclosures of PHI to law enforcement officials address the established performance criterion.,,
,,,"(ii) If a covered health care provider believes that the medical emergency described in paragraph (f)(6)(i) of this section is the result of abuse, neglect, or domestic violence of the individual in need of emergency health care, paragraph (f)(6)(i) of this section does not apply and any disclosure to a law enforcement official for law enforcement purposes is subject to paragraph (c) of this section.","Obtain and review a sample of such disclosures. Elements to consider include, but are not limited to, whether the disclosure:",,
,,,,-Indicates the commission and nature of the crime,,
,,,,-Includes the location of the crime or the victim(s) of the crime,,
,,,,"-Includes the identity, description, and location of the perpetrator of the crime.",,
Privacy,§164.512(g),Uses and disclosures about decedents,§164.512(g) Standard: Uses and disclosures about decedents.,Are policies and procedures consistent with the established performance criterion for disclosing PHI to (1) a coroner or medical examiner; and (2) a funeral director?,,
,,,"(1) Coroners and medical examiners. A covered entity may disclose protected health information to a coroner or medical examiner for the purpose of identifying a deceased person, determining a cause of death, or other duties as authorized by law. A covered entity that also performs the duties of a coroner or medical examiner may use protected health information for the purposes described in this paragraph.",,,
,,,,Obtain and review policies and procedures related to disclosures of PHI to coroners and medical examiners and funeral directors.,,
,,,"§164.512(g)(2) Funeral directors. A covered entity may disclose protected health information to funeral directors, consistent with applicable law, as necessary to carry out their duties with respect to the decedent. If necessary for funeral directors to carry out their duties, the covered entity may disclose the protected health information prior to, and in reasonable anticipation of, the individual's death.","Obtain and review a sample of such disclosures. Elements to consider include, but are not limited to, whether the purpose of disclosure is:",,
,,,,-To identify a deceased person,,
,,,,-To determine the cause of death.,,
,,,,-Authorized by law.,,
,,,,,,
,,,,"Information elements to consider include, but are not limited to, whether the information disclosed is limited to:",,
,,,,-Name of deceased person,,
,,,,-Cause of death,,
,,,,-Compliance with such law.,,
Privacy,§164.512(h),"Uses and disclosures for cadaveric organ, eye or tissue donation","§164.512(h) Standard: Uses and disclosures for cadaveric organ, eye or tissue donation purposes. A covered entity may use or disclose protected health information to organ procurement organizations or other entities engaged in the procurement, banking, or transplantation of cadaveric organs, eyes, or tissue for the purpose of facilitating organ, eye or tissue donation and transplantation.",Is the covered entity’s process for disclosing PHI to organ procurement organizations or other entities engaged in the procurement consistent with the established performance criterion?,,
,,,,,,
,,,,"Obtain and review policies and procedures related to disclosures of PHI for purposes of cadaveric organ, eye, or tissue donation.",,
,,,,Obtain and review a sample of disclosures of PHI to organ procurement organizations to determine whether such disclosures are consistent with the policies and procedures and the established performance criterion.,,
Privacy,§164.512(i)(1),Uses and disclosures for research purposes -- Permitted Uses and Disclosures,"§164.512(i) Standard: Uses and disclosures for research purposes (1) Permitted uses and disclosures. A covered entity may use or disclose protected health information for research, regardless of the source of funding of the research, provided that:",Does the covered entity use or disclose PHI for research purposes? Inquire of management.,,
,,,"(i) Board approval of a waiver of authorization. The covered entity obtains documentation that an alteration to or waiver, in whole or in part, of the individual authorization required by §164.508 for use or disclosure of protected health information has been approved by either:",,,
